g,c,b,e
NTF3,12,5603297,5604465
PITPNC1,17,65373396,65693379
ACADVL,17,7123149,7128586
RAB4A,1,229406808,229441640
DHDDS,1,26758772,26797795
IL21,4,123533782,123542212
CHN2,7,29519485,29553944
CHN1,2,175664041,175870107
IL25,14,23842017,23845612
IL24,1,207070787,207077484
CAV2,7,116139654,116148595
CAV3,3,8775485,8788451
AXL,19,41725103,41767672
CAV1,7,116164838,116201239
IL12RB1,19,18181371,18197697
IL12RB2,1,67773046,67862583
ENSA,1,150599521,150602098
CLINT1,5,157212750,157286183
FCGR2C,1,161551128,161570032
BRCA1,17,41196311,41277468
LRRC39,1,100614003,100643829
AHRR,5,304290,438405
ACOT9,X,23721776,23761407
ACOT7,1,6324331,6453826
ACOT2,14,74035762,74042362
ADCY4,14,24787554,24804277
ADCY5,3,123001142,123135189
ADCY6,12,49159974,49177877
RBBP8,18,20513294,20606449
KIF25,6,168418552,168445769
KIF27,9,86451614,86536380
RBBP7,X,16862774,16887978
RBBP6,16,24550907,24584183
KIF23,15,69706626,69740764
KIF22,16,29802288,29816706
JKAMP,14,59951160,59972081
RAB42,1,28918711,28921088
RAB43,3,128806411,128840647
SOX2-OT,3,181328121,181460013
HMMR,5,162887516,162918953
SLC22A1,6,160542862,160579750
FAM208A,3,56654159,56717135
SKAP1,17,46210801,46507594
LINC00837,10,29078239,29084979
HOXB-AS3,17,46669681,46683774
XRCC3,14,104163953,104181823
XRCC4,5,82373316,82649579
SMURF1,7,98625057,98741743
SMN2,5,69345349,69373422
SMN2,5,70220767,70248842
CLEC7A,12,10269375,10282868
MEIS3,19,47906374,47922785
MEIS2,15,37183221,37393500
PCDHAC2,5,140345746,140391929
TFRC,3,195776154,195808961
NARF,17,80416059,80446143
CTLA4,2,204732510,204738683
GSPT1,16,11961984,12010519
MIER1,1,67395925,67454302
RALGPS1,9,129677052,129979724
NEBL-AS1,10,21463230,21463852
PAPD7,5,6714717,6757161
PAPD4,5,78908242,78982471
PAPD5,16,50186828,50269219
AMN1,12,31824070,31882108
KIR3DL2,19,55361897,55378670
LMNB1,5,126112314,126172712
CAAP1,9,26840682,26892826
CD274,9,5450502,5470567
CD276,15,73976621,74006859
MRPS21,1,150266268,150280819
PPP2R5D,6,42952236,42980083
PPP2R5A,1,212475147,212535205
PPP2R5C,14,102276139,102394328
LCMT1,16,25123046,25189551
RXFP2,13,32313678,32377009
TRRAP,7,98476112,98610866
GDI2,10,5807185,5855512
ADCY10,1,167778624,167883453
CRHR1-IT1,17,43716340,43723595
KCNA2,1,111136201,111174096
GSE1,16,85645028,85709812
OPTN,10,13142081,13180276
JMJD6,17,74708913,74722881
FNDC5,1,33327868,33336414
JMJD4,1,227918889,227923112
ZHX1,8,124260689,124286727
ACACA,17,35441926,35716059
CCDC36,3,49236932,49295537
SLFN11,17,33677328,33700720
CCDC34,11,27370418,27384795
PLA2G2A,1,20301923,20306932
APPL2,12,105567074,105627183
PLA2G2D,1,20439142,20446059
NT5C1B,2,18744136,18770846
ZNF789,7,99070514,99079948
MEMO1,2,32092893,32235698
SLC26A11,17,78194199,78227308
CAPN10,2,241526132,241538526
SPATA8-AS1,15,97315234,97326567
HIBCH,2,191069359,191184771
SARS2,19,39405903,39421536
CYFIP1,15,22892683,23003603
NECAP2,1,16767166,16786584
HYI,1,43916673,43919660
MPRIP,17,16946073,17095962
PARP15,3,122296448,122355536
GUSBP1,5,21459588,21497305
KGFLP1,9,46687556,46746820
C11orf93,11,111169975,111179460
NR1D2,3,23987611,24022109
THUMPD3,3,9404716,9428475
THUMPD2,2,39963199,40006416
SIN3A,15,75661719,75744087
MLLT4,6,168227670,168365793
SYNJ1,21,34001068,34100250
PHOSPHO2,2,170550963,170558218
PHOSPHO1,17,47300731,47308128
SYNJ2,6,158438079,158520207
KRT13,17,39657232,39661865
PDZK1,1,145727665,145764206
ZNHIT6,1,86115105,86174116
OSR2,8,99956630,99964326
LY9,1,160765863,160772536
GTPBP3,19,17448325,17453540
TTC39B,9,15170841,15307358
GTPBP8,3,112709799,112720221
PCDHA2,5,140174443,140177062
PCDHA3,5,140180782,140183257
PCDHA1,5,140165875,140391929
PCDHA6,5,140207506,140210088
PCDHA7,5,140213968,140391929
PCDHA4,5,140186671,140391929
PCDHA5,5,140201360,140391929
EIF4A1,17,7476023,7482324
PCDHA8,5,140220906,140391929
PCDHA9,5,140227356,140233744
C1orf141,1,67557858,67600654
C8orf34,8,69242956,69448062
BCL6,3,187439164,187452695
BCL2,18,60790578,60986613
NPEPL1,20,57267861,57290900
PLK2,5,57749809,57755966
PLK4,4,128802015,128820377
LYRM2,6,90341942,90348474
LYRM1,16,20911556,20936328
LYRM4,6,5186833,5261172
NKX2-1,14,36985603,36988903
NKX2-5,5,172659106,172662315
GIGYF2,2,233562014,233725289
IP6K3,6,33689442,33714762
ZP3,7,76026840,76071388
KIAA0391,14,35591526,35743284
OAS1,12,113344738,113355831
OAS2,12,113416273,113449528
TTYH1,19,54926604,54947899
TTYH2,17,72209695,72258157
TLE2,19,2997635,3029612
SPAG11B,8,7318786,7321192
TRIM22,11,5710816,5732093
OASL,12,121458094,121477045
TLE6,19,2977535,2995182
CSNK1G3,5,122881110,122952738
SERPINB1,6,2832565,2842283
SERPINB2,18,61554938,61571124
SERPINB7,18,61420280,61472610
SERPINB6,6,2948392,2972399
FAM76A,1,28052489,28089423
PMF1-BGLAP,1,156182778,156213123
PCGF5,10,92979907,93044088
CX3CR1,3,39304984,39323226
PCGF6,10,105062552,105110891
MAGED1,X,51636697,51645450
MAGED2,X,54834170,54842445
MAGED4,X,51804922,51812368
MAGED4,X,51927918,51935366
NFS1,20,34256609,34287287
ATP8B2,1,154298035,154310322
EXD2,14,69658193,69710737
ATP8B4,15,50150434,50411419
DTHD1,4,36283236,36346407
LIPE-AS1,19,42927906,43156507
ELP2,18,33709836,33754684
FBXL2,3,33318933,33428757
CYFIP2,5,156693186,156822606
GAS2,11,22689653,22834547
FBXL5,4,15606006,15657035
NUDT16L1,16,4743693,4745860
FBXL4,6,99321600,99395882
DEK,6,18224399,18264799
SPRYD7,13,50486841,50510625
KLHDC4,16,87741417,87799598
MAX,14,65472818,65569262
KLHDC3,6,42981840,42989036
LRP5L,22,25747384,25777544
UBAP1,9,34179002,34252521
ASXL1,20,30946146,31027122
HTR2A,13,47405676,47471211
HTR2C,X,113818550,114144624
ZBTB33,X,119384609,119392251
GBA3,4,22694536,22821195
ZBTB37,1,173837492,173855774
C8orf22,8,49984899,49988642
SPATA13,13,24734860,24881212
DKFZP686I15217,6,2988200,2991405
TMEM99,17,38975343,38992526
TMEM92,17,48351787,48358846
COL18A1-AS1,21,46839630,46844955
TMEM91,19,41882437,41889987
KIAA0895,7,36363758,36406782
TRIM46,1,155146262,155157447
TRIM45,1,117653676,117664411
TRIM41,5,180650262,180662808
IVD,15,40697685,40713512
GAS7,17,9813925,9929623
TBPL1,6,134274300,134308638
PEX2,8,77892493,77913280
PEX5,12,7341758,7371169
REG4,1,120336640,120354203
NRD1,1,52254865,52343712
LOC100505776,18,69187199,69246192
ERMN,2,158175124,158182416
ACE,17,61554421,61575741
ACD,16,67691414,67694718
ATP5S,14,50779046,50789743
FAM222A-AS1,12,110172013,110211292
NEB,2,152341852,152591001
RINL,19,39358471,39368919
ATP5I,4,666224,668127
ATP5H,17,73034954,73043074
ME3,11,86152149,86383240
ME2,18,48405431,48476162
GNAI2,3,50284325,50296786
PBX4,19,19672515,19729725
ATP5D,19,1241748,1244824
MPZL2,11,118127627,118135251
SLC7A8,14,23594503,23652869
MPZL1,1,167691186,167761156
AURKAIP1,1,1309109,1310580
SLC7A9,19,33321418,33360683
AFMID,17,76183397,76193641
CITED2,6,139693391,139695787
CITED1,X,71521487,71527037
TRAK1,3,42190726,42254118
DAGLB,7,6448746,6487643
PFDN5,12,53689234,53693234
PFDN6,6,33257411,33258711
MTHFS,15,80135888,80189627
TOP1MT,8,144391496,144442147
SLC7A3,X,70145429,70150975
DTNB,2,25600111,25875529
DTNA,18,32398246,32471808
PRB1,12,11504756,11508524
PRB4,12,11460014,11463369
TAB1,22,39795758,39833132
RIN2,20,19867164,19983103
PDE4DIP,1,144851423,145039995
WWOX,16,78133326,78312593
NOX4,11,89057521,89224653
RPS10,6,34385230,34393902
RPS14,5,149823791,149829319
CLPS,6,35762758,35765121
LOC100128164,3,169672014,169684522
LOC100286922,2,234662961,234663991
SPRR1A,1,152956563,152958290
CLPB,11,72003469,72145724
FEZF1,7,121941447,121944565
FAM149A,4,187065994,187093817
SLC9A3R2,16,2076868,2089027
C7orf76,7,96110937,96132835
PLCXD1,Y,198060,220022
PLCXD1,Y,148060,170022
ZNF419,19,57999078,58006048
ZNF415,19,53611131,53636171
ZNF414,19,8575461,8579048
HILS1,17,48248788,48249837
ZNF410,14,74353317,74398991
RRAGC,1,39303868,39325495
RRAGB,X,55744109,55785207
TARS,5,33440881,33468196
GGT1,22,24999179,25024972
GGT6,17,4460221,4463876
MCOLN3,1,85483764,85514223
GGT5,22,24615621,24641110
RASA4,7,102220092,102257205
RASA1,5,86564069,86687743
ACTN3,11,66314311,66330799
ACTN2,1,236849753,236927927
ACTN1,14,69340839,69446083
PTCH1,9,98205263,98270322
PTPRS,19,5205518,5340814
PTPRR,12,71031852,71148388
CLP1,11,57425215,57429337
EZR,6,159186772,159239340
PTPRF,1,43996546,44089343
PTPRE,10,129845812,129884164
PTPRD,9,8314245,8733946
PTPRC,1,198608097,198726605
PTPRB,12,70910631,71003624
PTPRA,20,2854141,3019315
PLAC8,4,84011210,84035911
PTPRO,12,15475190,15751265
PTPRN,2,220154344,220174295
PTPRM,18,7567313,8406859
PTPRK,6,128289923,128841870
AMER2,13,25742671,25745857
DTWD1,15,49913225,49937333
IFT27,22,37154245,37172177
IFT20,17,26655350,26662515
CPM,12,69244955,69326979
CPD,17,28705941,28796675
CPZ,4,8594386,8621488
CASS4,20,54987167,55034396
N6AMT1,21,30248385,30257695
DMPK,19,46272975,46283861
BANK1,4,102734982,102995969
NR5A2,1,199996729,200146550
DMP1,4,88571453,88585512
C1QTNF1-AS1,17,77015290,77023737
MON2,12,62860596,62991363
ABLIM2,4,7967036,8160559
FAM172A,5,92953430,93447404
POC1B-GALNT4,12,89913189,89920039
LINC00635,3,107560508,107596915
HMGN3,6,79910961,79944455
GSTZ1,14,77787229,77797940
RAB6A,11,73386682,73472201
MX1,21,42798102,42831141
RC3H2,9,125611731,125667562
CHL1,3,238278,451097
IFIT3,10,91092238,91100725
IFIT1,10,91152302,91166244
EFTUD2,17,42927654,42976993
EFTUD1,15,82422560,82555104
MAP1LC3A,20,33146500,33148149
DAOA,13,106118215,106143383
GGTLC1,20,23965689,23969416
CACNA1I,22,39966757,40085740
BRCC3,X,154299694,154351349
LUCAT1,5,90598802,90610219
ARL5A,2,152657479,152685009
CBY1,22,39052657,39069855
TMEM8B,9,35829221,35847232
ERLIN1,10,101909846,101945734
ERLIN2,8,37594096,37615319
SBSN,19,36014268,36019253
APITD1,1,10490158,10502872
WDR35,2,20110028,20189884
POMC,2,25383721,25391559
WDR31,9,116077930,116102620
WDR33,2,128461807,128568761
IL15RA,10,5994333,6019574
WDR38,9,127615695,127620170
CRIP2,14,105941111,105946507
ABHD17A,19,1876974,1885518
ABHD17B,9,74477367,74526148
NBPF9,1,144614958,144830407
NBPF8,1,147574322,148346929
NBPF8,1,144614958,144830407
TLE3,15,70340542,70390256
NBPF6,1,108992903,109013260
FGF8,10,103529886,103540126
NBPF3,1,21766582,21811393
NAPEPLD,7,102740022,102789569
SLC26A9,1,205882176,205912588
PLP1,X,103031753,103047547
MTFR2,6,136552167,136571449
TNFSF13B,13,108921976,108960832
PKLR,1,155259083,155271225
TMEM259,19,1009649,1021141
SERF2,15,44084574,44088287
TM9SF1,14,24658352,24664882
CMSS1,3,99833773,99897476
TFPI,2,188343304,188419219
SPATS2L,2,201171355,201346986
NAT1,8,18067617,18081198
NAT6,3,50333832,50336320
HENMT1,1,109190909,109203744
FAIM3,1,207076630,207095378
MEPCE,7,100027253,100031749
CCBL1,9,131595391,131644354
CCBL2,1,89401455,89458643
KCNC4,1,110753335,110776674
C21orf91-OT1,21,19149720,19164826
KCNC1,11,17757494,17804602
KCNC2,12,75433857,75603528
TMEM254,10,81839000,81852307
TMEM251,14,93651295,93653431
CPSF7,11,61170119,61197464
CPSF4,7,99036562,99054996
IFT81,12,110562139,110606250
MAD1L1,7,1855427,2272583
ACAA1,3,38164200,38178733
MUM1L1,X,105412297,105452949
TTLL6,17,46839592,46894469
LTBP3,11,65306029,65325699
LTBP1,2,33359663,33624575
EPS15,1,51819934,51984995
CEP164,11,117198570,117283982
SUFU,10,104263718,104379220
PLA2G4C,19,48551099,48614109
PLA2G4F,15,42433331,42448839
CRAT,9,131857072,131873070
MBD4,3,129149786,129159022
MBD1,18,47795215,47808137
MBD2,18,51677970,51751158
CMTM2,16,66613350,66622177
CMTM3,16,66638227,66647795
CMTM1,16,66600349,66613038
CMTM7,3,32433162,32496333
CMTM4,16,66648652,66730610
CMTM5,14,23846016,23848981
MPC2,1,167885912,167906307
COL11A1,1,103342022,103574052
COL11A2,6,33130468,33160245
MPC1,6,166778407,166796501
TSPAN14,10,82214037,82282391
TSPAN17,5,176074387,176086059
HEPACAM2,7,92817899,92855782
FAM13A,4,89647104,89744512
SLC25A19,17,73269060,73285530
KIAA1429,8,95500004,95565746
SLC25A14,X,129474046,129507335
SLC25A13,7,95749531,95951459
SLC25A12,2,172639914,172750816
SLC25A11,17,4840425,4843462
SLC25A10,17,79679265,79688046
LMCD1,3,8543492,8609811
STAT3,17,40465342,40540405
CCDC17,1,46085715,46089731
NDUFA11,19,5894680,5904024
CCDC12,3,46963219,47023500
TMUB1,7,150778171,150780620
TMUB2,17,42264573,42269099
SYNCRIP,6,86317501,86352608
CDY1B,Y,26191939,26194161
CDY1B,Y,27768263,27771048
ALDH1L2,12,105413561,105478341
ALDH1L1,3,125822403,125899645
ZNF280D,15,56922373,57025787
GNG4,1,235710984,235813293
GNG2,14,52327021,52436518
VIT,2,36923832,36986818
MMAB,12,109991520,110011358
ALG8,11,77811987,77850699
ALG9,11,111652918,111742305
FUS,16,31191430,31206192
ALDH3B2,11,67429632,67442102
ALG2,9,101978706,101984246
ALG3,3,183960116,183966759
UGT3A1,5,35960857,36001130
FUZ,19,50310123,50316567
ALG5,13,37523907,37573504
PI4KA,22,21061978,21213100
LTBP4,19,41103140,41135725
TTLL1,22,43435522,43485434
STAM,10,17686123,17758821
PDZD7,10,102767439,102790914
KIAA1324L,7,86506222,86595291
TTLL3,3,9851643,9878040
INSL3,19,17927321,17932383
RAB11A,15,66161796,66184329
GCC2,2,109065576,109125854
TBC1D8B,X,106045918,106093063
CLDN2,X,106161589,106174091
CLDN5,22,19510546,19512860
CLDN7,17,7163221,7166264
LINC00339,1,22352041,22357715
PLEKHS1,10,115511212,115542192
MAGEB1,X,30261847,30270155
SMYD3,1,245912641,246670644
MRFAP1,4,6641817,6644470
IRF3,19,50162825,50169132
C6orf48,6,31802692,31807541
IRF7,11,612554,615999
IRF6,1,209958967,209979520
IRF5,7,128577993,128590088
IRF4,6,391738,411443
NADKD1,5,36192693,36242258
CLUL1,18,616699,650293
SNX22,15,64443915,64449680
CLK1,2,201717731,201729284
SNX20,16,50706885,50715264
CLK3,15,74907334,74922542
SPATA5L1,15,45694518,45713616
CDCP1,3,45123765,45187914
INMT,7,30791750,30797218
GPER,7,1127722,1133451
ONECUT1,15,53049159,53073081
TECR,19,14640378,14676792
MRPL21,11,68658745,68671303
PANX2,22,50609159,50618724
FECH,18,55212072,55253969
ZBTB10,8,81398447,81438500
ZBTB17,1,16268363,16302627
ZBTB16,11,113931287,114121397
ZBTB14,18,5289017,5296194
ZBTB18,1,244212240,244220780
TEX101,19,43919034,43922767
TMEM150A,2,85825669,85829822
MTO1,6,74171453,74211179
DDX19B,16,70333061,70367735
LINC00461,5,87960262,87974262
ACVR2A,2,148602563,148688396
LYSMD1,1,151132223,151138424
KLHL13,X,117031775,117119376
DAB2IP,9,124505063,124544932
BACE2,21,42539727,42654461
SPATA33,16,89724454,89727916
TRIM69,15,45028559,45060025
UNG,12,109535922,109548798
TRIM60,4,165953150,165962896
UNK,17,73780919,73821886
TRIM65,17,73885040,73893084
C2orf61,2,47355586,47382517
CNBD2,20,34556528,34618622
NRF1,7,129269918,129396922
NDRG1,8,134249413,134309547
LRRC8A,9,131644390,131680317
HIP1,7,75162618,75368283
TRDN,6,123670619,123958238
CDKN2C,1,51434366,51440306
SNHG17,20,37049266,37063962
SERTAD3,19,40946747,40950282
SNHG10,14,95999248,96001209
ARAP1,11,72396113,72463434
BID,22,18216905,18257261
ERCC6-PGBD3,10,50723150,50747584
CEACAM19,19,45174723,45187627
CEACAM18,19,51979837,51986611
HMHA1,19,1067164,1086627
CTNS,17,3539761,3566397
CIDEC,3,9908393,9921938
PHYH,10,13319795,13342130
PPM1A,14,60715965,60765805
MEAF6,1,37955560,37980420
MCC,5,112357795,112630612
LCA5,6,80194707,80247147
NOTCH2,1,120454175,120612317
ZNF655,7,99156447,99162328
MCU,10,74451888,74647452
MLPH,2,238395877,238463961
PPM1M,3,52280185,52284615
ZNF652,17,47366567,47439835
FGFRL1,4,1005609,1020686
HSF2,6,122720695,122741555
CRLF2,Y,1314893,1331530
CRLF2,Y,1264893,1281530
HSF4,16,67197287,67203848
NISCH,3,52489523,52527088
C7orf55,7,139025877,139031065
RAPGEF6,5,130759613,130970929
N4BP2L2,13,33091029,33112932
RAPGEF1,9,134452156,134612925
RLN2,9,5299865,5304611
RAPGEF3,12,48128452,48152244
MIR941-3,20,62550833,62550947
SYT15,10,46955443,46970601
MIR941-4,20,62550892,62551006
ZNF384,12,6775642,6798738
ZNF382,19,37096206,37119499
POC1B,12,89813497,89920039
DNAJB12,10,74092587,74114907
PARK7,1,8021713,8045342
RORC,1,151778546,151804348
RORA,15,60780482,60884707
PARK2,6,161768589,163148834
NXPE3,3,101498028,101547075
NXPE4,11,114441312,114466484
ZNF473,19,50529211,50552031
DMTF1,7,86781676,86825648
MSMB,10,51549552,51562518
LOC100216479,2,131174325,131186119
DNAJB14,4,100844840,100867883
MDM1,12,68718784,68726161
MDM2,12,69201951,69239324
MDM4,1,204485506,204527248
ROR1,1,64239689,64647179
SNRPD3,22,24951617,24970932
SNRPD2,19,46190711,46195443
SLTM,15,59171243,59225852
SFI1,22,31892124,32014537
CPB2,13,46627321,46679211
KIT,4,55524094,55606881
TPTE2,13,19997018,20110903
KIN,10,7792924,7829990
KPNA1,3,122140747,122233786
IFT43,14,76452095,76525634
IFT46,11,118415242,118436791
FRS2,12,69864128,69973571
CRK,17,1324646,1359561
TNFRSF18,1,1138887,1142089
TNFRSF19,13,24153498,24250244
CHODL,21,19289656,19639687
PC,11,66615996,66675340
B4GALT3,1,161141099,161147758
B4GALT2,1,44444873,44456843
B4GALT4,3,118930588,118959752
FCN3,1,27695600,27701315
FCN2,9,137772657,137779366
DHRS12,13,52342128,52378298
TPTE2P5,13,41371120,41495886
SGOL1,3,20209935,20227724
SGOL2,2,201390864,201448818
GPR89A,1,145764594,145827103
TEPP,16,58010338,58022017
CR2,1,207627644,207663240
ASPSCR1,17,79935425,79975282
CR1,1,207669472,207815110
LGMN,14,93170151,93215047
CYP19A1,15,51500253,51630795
SULT2B1,19,49078992,49102684
TMLHE,X,154722195,154842622
SOGA1,20,35405844,35488276
SCIMP,17,5112215,5138155
DOHH,19,3490818,3500621
PCDHA10,5,140235633,140391929
LOC100506343,1,112282462,112290420
PCDHA11,5,140247830,140251121
ARNTL2,12,27485786,27578746
PCDHA12,5,140254886,140391929
EHMT1,9,140513443,140730578
EHMT2,6,31847536,31865464
ADIPOR1,1,202909959,202927524
NBPF24,1,146032541,146057734
NBPF24,1,147574322,147599571
PTPN6,12,7055739,7070479
MARK4,19,45754515,45808541
STOX1,10,70587562,70652816
MARK2,11,63606399,63678492
MARK3,14,103851700,103970166
CD63,12,56119226,56122136
NDUFA12,12,95365103,95397489
CD68,17,7482805,7485429
TPD52L2,20,62496580,62522898
TPD52L1,6,125474878,125584644
EFCAB13,17,45401326,45508076
ISOC2,19,55964345,55973049
CAPSL,5,35904397,35938737
PROK2,3,71820805,71834357
ACTR3C,7,149944300,150000069
ACTR3B,7,152456833,152552464
WDR13,X,48455879,48463582
SRP68,17,74034855,74068607
WDR17,4,176986984,177103979
WDR16,17,9479943,9546776
GABPA,21,27107328,27144771
PSCA,8,143761873,143764145
PPP2R1A,19,52693054,52729678
LMF1,16,903634,1020984
C1orf210,1,43747556,43751288
C1orf213,1,23695463,23698330
LINC00871,14,46940561,46971104
USP9X,X,40944887,41095832
ZMYND15,17,4643309,4649414
ZMYND12,1,42896000,42921938
PAEP,9,138453603,138458622
ZMYND11,10,180423,295729
FAM83A,8,124194751,124222318
CGGBP1,3,88101099,88199016
CLEC3A,16,78056442,78066001
ZFP41,8,144329097,144344875
MAD2L1BP,6,43603576,43608688
WNT2B,1,113010039,113063910
C10orf32,10,104613966,104624718
PKN1,19,14544165,14582679
RHOBTB2,8,22844929,22877710
RHOBTB1,10,62629197,62704033
IMPDH1,7,128032330,128046024
INO80C,18,33048290,33077955
DIS3L2,2,232826292,232995592
DNM3OS,1,172106018,172113975
FKBP9L,7,55748766,55756994
NGDN,14,23938897,23947402
FAM124B,2,225243414,225266711
ERBB2IP,5,65222381,65376851
FAM124A,13,51796469,51858377
LDLRAD1,1,54472970,54483859
LDLRAD4,18,13611762,13652753
GOLGA2P5,12,100558827,100567121
LIG4,13,108859791,108867882
CSNK1D,17,80200536,80231594
NAV2,11,19734880,20143147
LIG3,17,33307516,33330191
ISCU,12,108956293,108963160
IL36RN,2,113816684,113822320
FNTA,8,42911441,42940932
BOLL,2,198591602,198650938
LOC100505702,4,79567147,79605655
UMODL1,21,43483067,43563105
CRCP,7,65579804,65619553
DPY19L2P2,7,102815461,102920913
CSPG5,3,47603727,47620359
ADORA2A-AS1,22,24825177,24890783
ZKSCAN3,6,28317690,28336954
ZKSCAN5,7,99102272,99131445
ZKSCAN7,3,44596712,44613650
ZKSCAN8,6,28109687,28127250
GLIS3,9,3824127,4300035
SLC25A36,3,140660661,140698785
GPBAR1,2,219125737,219128582
SLC25A39,17,42396992,42402217
TUBA1A,12,49578577,49583107
VIP,6,153071931,153080902
AJAP1,1,4715104,4843851
IGSF11,3,118619478,118753676
BCR,22,23522551,23660224
TMEM189,20,48740273,48770335
FAM102A,9,130702860,130712993
TAF6,7,99704692,99716995
TAF1,X,70586113,70685855
G6PD,X,153759605,153775787
G6PC,17,41052813,41066450
USP10,16,84733554,84813527
TAF9,5,68660569,68665409
ELMO1,7,36892510,37024717
POMT1,9,134378288,134399193
AIF1,6,31583032,31584798
FOSB,19,45971252,45978437
USP15,12,62654120,62803501
PPAPDC1B,8,38122257,38126738
STOM,9,124101265,124132582
SIGLEC17P,19,51670584,51676780
LGALS12,11,63273523,63284246
SSBP2,5,80713178,81047072
SMIM5,17,73629513,73637486
PSMA3,14,58711522,58738727
SMIM8,6,88032305,88052043
AP2M1,3,183892633,183901879
UGT3A2,5,36035118,36067023
PDCD6,5,271735,277055
PDCD4,10,112631552,112659764
PDCD2,6,170884659,170893742
TCF21,6,134210258,134216675
PSMA4,15,78832746,78841563
MINA,3,97660660,97691295
HDLBP,2,242166681,242212246
PBLD,10,70042416,70092684
SLC7A7,14,23242431,23285101
C6orf25,6,31691120,31694485
SERPINF2,17,1646319,1658559
GCAT,22,38203911,38212906
GHSR,3,172165332,172166246
C7orf50,7,1036622,1177893
PSMA8,18,23713815,23773319
VPS26A,10,70883907,70932616
DIAPH3-AS1,13,60587436,60618490
SREBF2,22,42229082,42303312
SREBF1,17,17714662,17740325
DSG4,18,28956739,28993880
KARS,16,75661621,75681585
FBXO44,1,11714913,11723384
PDE9A,21,44073861,44195618
CIT,12,120123594,120315095
PDE2A,11,72287183,72353504
TATDN1,8,125500734,125551329
TATDN3,1,212965169,212990167
THPO,3,184089772,184095932
C1orf177,1,55271735,55307937
GLE1,9,131266970,131304580
MTA1,14,105886185,105937057
LRP12,8,105501458,105601252
GPC3,X,132669775,133119673
HEPH,X,65384078,65487230
BICD2,9,95473644,95527083
BICD1,12,32260184,32531141
BBS9,7,33169151,33645680
BBS4,15,72978519,73030817
BBS7,4,122745483,122791652
C2orf44,2,24252205,24270296
ESM1,5,54273694,54281414
AGL,1,100316044,100389579
NIPA2,15,23004683,23034427
NIPA1,15,23043278,23086436
SSFA2,2,182756471,182795464
AGA,4,178351928,178363657
PDCD10,3,167401694,167452594
ATPIF1,1,28562601,28564616
SLC50A1,1,155108287,155111334
PRNT,20,4711927,4721314
SLC28A3,9,86890764,86983413
PIK3CB,3,138371539,138426463
SLC28A1,15,85427912,85439268
PRNP,20,4666796,4682234
ZSWIM7,17,15879874,15903006
ZSWIM3,20,44486219,44507769
TMEM56,1,95558072,95663161
ZSWIM8,10,75545381,75561556
GCOM1,15,57884101,58009755
TMEM51,1,15479027,15546974
IQCB1,3,121488609,121553926
MEN1,11,64570985,64578188
MEG3,14,101292444,101327360
ZNF674,X,46357159,46404892
PRRG1,X,37208527,37316548
ZNF670,1,247197939,247242115
WHSC1,4,1894508,1983930
MAZ,16,29817857,29822504
ERI2,16,20807661,20817795
ZNF678,1,227751219,227850164
MAG,19,35782988,35804709
MAF,16,79627744,79634622
ACLY,17,40023178,40075272
MAK,6,10762955,10838788
MAL,2,95691399,95719737
ALDH3A2,17,19552063,19580908
ALDH3A1,17,19641297,19648772
MGST2,4,140586921,140625406
EDC3,15,74922898,74988386
MGST1,12,16500576,16517344
ZNF451,6,56954807,56974512
CSDE1,1,115259533,115300671
ZNF454,5,178368193,178393218
BACH2,6,90636246,91006627
BACH1,21,30671736,30718469
C6orf203,6,107349406,107372547
GMDS,6,1624034,2245868
LSR,19,35739558,35758867
WSB1,17,25621105,25640645
WSB2,12,118470496,118499016
KCNIP4,4,20730238,21305529
KCNIP3,2,96012767,96051825
KCNIP2,10,103585730,103603677
KCNIP1,5,169780490,170163637
PRSS55,8,10383055,10396333
ANAPC5,12,121746047,121792012
ANAPC7,12,110810704,110841535
RPS6KA1,1,26856248,26901520
RPS6KA2,6,166822853,167275771
SNRPB2,20,16710608,16722417
RPS6KA4,11,64126624,64139687
RPS6KA5,14,91337166,91526993
SH3D19,4,152041432,152147660
PSMD11,17,30771480,30810337
PSMD10,X,107327434,107334874
PSMD13,11,236807,252984
PSMD12,17,65336618,65362721
FTCD,21,47556175,47575481
TMEM198B,12,56223391,56230030
MINPP1,10,89264222,89313218
NRXN1,2,50145642,51259674
GANAB,11,62392297,62414198
VAPB,20,56964174,57026156
VAPA,18,9913954,9960018
NPHP1,2,110880913,110962639
LOC100506714,22,45529638,45559662
CTH,1,70876900,70905534
EXOSC10,1,11126675,11159938
ARF1,1,228270360,228286913
LOC645166,1,148930404,148953054
MOBP,3,39509063,39557494
RGPD6,2,110550334,110590596
RGPD6,2,111271378,111336309
RGPD5,2,110550334,110590596
RGPD5,2,111296064,111336309
MOB2,11,1490684,1507948
RDM1,17,34249481,34257780
PQLC2,1,19638739,19655794
PQLC1,18,77662419,77711653
RAB11FIP3,16,475667,572481
LRRC27,10,134150610,134180509
RAB11FIP1,8,37716464,37757015
BPIFA3,20,31805134,31815559
BPIFA1,20,31823801,31831115
METTL23,17,74722911,74729962
METTL20,12,31800093,31822016
SPP1,4,88896801,88904563
KIAA1522,1,33231234,33240571
MYL6B,12,56546203,56551771
HMGB2,4,174252526,174255595
SLITRK4,X,142710594,142723926
HMGB4,1,34326075,34330392
SPNS1,16,28986095,28995869
RAB2A,8,61429468,61536203
RAB2B,14,21927178,21945132
